UserId,SurveyId,ANS_Q1,ANS_Q2,ANS_Q3,ANS_Q4
10509,1,-1.0,4.0,-1.0,Null
10958,1,2.0,-1.0,-1.0,Null
11309,1,4.0,-1.0,-1.0,Null
11689,1,6.0,-1.0,-1.0,Null
12630,1,-1.0,3.0,-1.0,Null
13207,1,-1.0,9.0,-1.0,Null
15322,1,7.0,-1.0,-1.0,Null
15459,1,1.0,-1.0,-1.0,Null
16083,1,-1.0,7.0,-1.0,Null
17046,1,7.0,-1.0,-1.0,Null
17129,1,-1.0,8.0,-1.0,Null
17150,1,-1.0,4.0,-1.0,Null
17898,1,-1.0,4.0,-1.0,Null
18947,1,9.0,-1.0,-1.0,Null
19635,1,8.0,-1.0,-1.0,Null
20162,1,2.0,-1.0,-1.0,Null
20302,1,5.0,-1.0,-1.0,Null
20785,1,-1.0,7.0,-1.0,Null
20919,1,-1.0,3.0,-1.0,Null
22921,1,-1.0,5.0,-1.0,Null
23235,1,0.0,-1.0,-1.0,Null
23935,1,6.0,-1.0,-1.0,Null
24062,1,7.0,-1.0,-1.0,Null
24549,1,6.0,-1.0,-1.0,Null
24826,1,7.0,-1.0,-1.0,Null
24983,1,-1.0,1.0,-1.0,Null
25313,1,-1.0,0.0,-1.0,Null
25366,1,0.0,-1.0,-1.0,Null
27222,1,9.0,-1.0,-1.0,Null
27466,1,4.0,-1.0,-1.0,Null
27472,1,0.0,-1.0,-1.0,Null
27552,1,9.0,-1.0,-1.0,Null
28218,1,5.0,-1.0,-1.0,Null
28372,1,0.0,-1.0,-1.0,Null
29145,1,-1.0,8.0,-1.0,Null
30418,1,4.0,-1.0,-1.0,Null
30553,1,-1.0,9.0,-1.0,Null
31145,1,4.0,-1.0,-1.0,Null
31644,1,8.0,-1.0,-1.0,Null
31985,1,2.0,-1.0,-1.0,Null
-31877,1,1.0,-1.0,-1.0,Null
-31787,1,3.0,-1.0,-1.0,Null
-31130,1,-1.0,0.0,-1.0,Null
-31053,1,0.0,-1.0,-1.0,Null
-30568,1,-1.0,3.0,-1.0,Null
-30256,1,-1.0,2.0,-1.0,Null
-29693,1,-1.0,6.0,-1.0,Null
-29671,1,-1.0,7.0,-1.0,Null
-29224,1,8.0,-1.0,-1.0,Null
-28903,1,3.0,-1.0,-1.0,Null
-28901,1,2.0,-1.0,-1.0,Null
-28832,1,-1.0,4.0,-1.0,Null
-28435,1,9.0,-1.0,-1.0,Null
-28245,1,-1.0,2.0,-1.0,Null
-28037,1,-1.0,4.0,-1.0,Null
-27850,1,-1.0,3.0,-1.0,Null
-27706,1,-1.0,1.0,-1.0,Null
-26875,1,-1.0,9.0,-1.0,Null
-26375,1,-1.0,6.0,-1.0,Null
-25304,1,6.0,-1.0,-1.0,Null
-23442,1,4.0,-1.0,-1.0,Null
-23124,1,7.0,-1.0,-1.0,Null
-23108,1,4.0,-1.0,-1.0,Null
-23073,1,-1.0,0.0,-1.0,Null
-22353,1,5.0,-1.0,-1.0,Null
-22347,1,-1.0,9.0,-1.0,Null
-21339,1,6.0,-1.0,-1.0,Null
-20793,1,2.0,-1.0,-1.0,Null
-20572,1,2.0,-1.0,-1.0,Null
-19706,1,-1.0,7.0,-1.0,Null
-19514,1,-1.0,4.0,-1.0,Null
-19161,1,-1.0,6.0,-1.0,Null
-18808,1,6.0,-1.0,-1.0,Null
-17287,1,1.0,-1.0,-1.0,Null
-17029,1,-1.0,5.0,-1.0,Null
-16422,1,3.0,-1.0,-1.0,Null
-15607,1,-1.0,4.0,-1.0,Null
-15191,1,-1.0,3.0,-1.0,Null
-14979,1,0.0,-1.0,-1.0,Null
-14543,1,4.0,-1.0,-1.0,Null
-13735,1,9.0,-1.0,-1.0,Null
-13462,1,9.0,-1.0,-1.0,Null
-12693,1,5.0,-1.0,-1.0,Null
-12283,1,5.0,-1.0,-1.0,Null
-11473,1,-1.0,4.0,-1.0,Null
-11307,1,0.0,-1.0,-1.0,Null
-11304,1,-1.0,0.0,-1.0,Null
-11126,1,-1.0,8.0,-1.0,Null
-10548,1,-1.0,3.0,-1.0,Null
-9526,1,-1.0,0.0,-1.0,Null
-8214,1,-1.0,6.0,-1.0,Null
-8107,1,4.0,-1.0,-1.0,Null
-7235,1,8.0,-1.0,-1.0,Null
-6091,1,-1.0,5.0,-1.0,Null
-5217,1,4.0,-1.0,-1.0,Null
-4407,1,5.0,-1.0,-1.0,Null
-4323,1,-1.0,1.0,-1.0,Null
-3742,1,-1.0,3.0,-1.0,Null
-2811,1,-1.0,6.0,-1.0,Null
-2798,1,0.0,-1.0,-1.0,Null
-1642,1,-1.0,3.0,-1.0,Null
-1276,1,-1.0,9.0,-1.0,Null
-1219,1,-1.0,5.0,-1.0,Null
933,1,-1.0,5.0,-1.0,Null
1221,1,-1.0,6.0,-1.0,Null
1358,1,-1.0,5.0,-1.0,Null
1572,1,0.0,-1.0,-1.0,Null
3250,1,-1.0,2.0,-1.0,Null
3620,1,3.0,-1.0,-1.0,Null
4347,1,-1.0,4.0,-1.0,Null
6187,1,2.0,-1.0,-1.0,Null
6938,1,1.0,-1.0,-1.0,Null
7138,1,9.0,-1.0,-1.0,Null
7232,1,-1.0,6.0,-1.0,Null
7926,1,4.0,-1.0,-1.0,Null
8091,1,-1.0,8.0,-1.0,Null
8681,1,9.0,-1.0,-1.0,Null
9368,1,-1.0,8.0,-1.0,Null
9446,1,-1.0,6.0,-1.0,Null
9754,1,-1.0,7.0,-1.0,Null
10622,1,6.0,-1.0,-1.0,Null
11823,1,0.0,2.0,-1.0,Null
12189,1,-1.0,3.0,-1.0,Null
12722,1,-1.0,2.0,-1.0,Null
12985,1,3.0,-1.0,-1.0,Null
13293,1,3.0,-1.0,-1.0,Null
13648,1,6.0,-1.0,-1.0,Null
15034,1,-1.0,5.0,-1.0,Null
15107,1,4.0,-1.0,-1.0,Null
15360,1,7.0,-1.0,-1.0,Null
15689,1,1.0,-1.0,-1.0,Null
16838,1,-1.0,0.0,-1.0,Null
17203,1,-1.0,7.0,-1.0,Null
17580,1,3.0,-1.0,-1.0,Null
18636,1,-1.0,2.0,-1.0,Null
19861,1,-1.0,5.0,-1.0,Null
21157,1,3.0,-1.0,-1.0,Null
22107,1,0.0,-1.0,-1.0,Null
22482,1,-1.0,8.0,-1.0,Null
22485,1,-1.0,2.0,-1.0,Null
23050,1,3.0,-1.0,-1.0,Null
24594,1,6.0,-1.0,-1.0,Null
26616,1,1.0,-1.0,-1.0,Null
26928,1,8.0,-1.0,-1.0,Null
27005,1,-1.0,7.0,-1.0,Null
27408,1,8.0,-1.0,-1.0,Null
31427,1,-1.0,6.0,-1.0,Null
31704,1,-1.0,9.0,-1.0,Null
31804,1,-1.0,0.0,-1.0,Null
31911,1,-1.0,0.0,-1.0,Null
32331,1,-1.0,9.0,-1.0,Null
32337,1,-1.0,1.0,-1.0,Null
-31822,1,0.0,-1.0,-1.0,Null
-30965,1,-1.0,8.0,-1.0,Null
-30904,1,-1.0,5.0,-1.0,Null
-30633,1,0.0,-1.0,-1.0,Null
-30400,1,3.0,-1.0,-1.0,Null
-30256,1,5.0,-1.0,-1.0,Null
-30170,1,-1.0,9.0,-1.0,Null
-30007,1,7.0,-1.0,-1.0,Null
-27743,1,-1.0,0.0,-1.0,Null
-27462,1,0.0,-1.0,-1.0,Null
-26930,1,9.0,-1.0,-1.0,Null
-26862,1,4.0,-1.0,-1.0,Null
-24796,1,0.0,-1.0,-1.0,Null
-24461,1,-1.0,9.0,-1.0,Null
-23192,1,-1.0,6.0,-1.0,Null
-22344,1,-1.0,4.0,-1.0,Null
-22131,1,9.0,-1.0,-1.0,Null
-22052,1,4.0,-1.0,-1.0,Null
-21866,1,-1.0,5.0,-1.0,Null
-21744,1,3.0,-1.0,-1.0,Null
-21631,1,-1.0,5.0,-1.0,Null
-21450,1,1.0,-1.0,-1.0,Null
-21362,1,4.0,-1.0,-1.0,Null
-21331,1,-1.0,3.0,-1.0,Null
-21114,1,0.0,-1.0,-1.0,Null
-20657,1,1.0,-1.0,-1.0,Null
-20517,1,3.0,-1.0,-1.0,Null
-20448,1,-1.0,4.0,-1.0,Null
-20018,1,0.0,-1.0,-1.0,Null
-18665,1,6.0,-1.0,-1.0,Null
-17997,1,-1.0,6.0,-1.0,Null
-17717,1,-1.0,5.0,-1.0,Null
-17647,1,2.0,-1.0,-1.0,Null
-17255,1,6.0,-1.0,-1.0,Null
-17140,1,3.0,-1.0,-1.0,Null
-15970,1,4.0,-1.0,-1.0,Null
-14709,1,9.0,-1.0,-1.0,Null
-14600,1,6.0,-1.0,-1.0,Null
-12455,1,-1.0,2.0,-1.0,Null
-12094,1,-1.0,2.0,-1.0,Null
-10970,1,-1.0,9.0,-1.0,Null
-9947,1,7.0,-1.0,-1.0,Null
-9428,1,4.0,-1.0,-1.0,Null
-8356,1,-1.0,7.0,-1.0,Null
-7426,1,1.0,-1.0,-1.0,Null
-7263,1,4.0,-1.0,-1.0,Null
-6864,1,-1.0,1.0,-1.0,Null
-3891,1,-1.0,6.0,-1.0,Null
-3888,1,-1.0,7.0,-1.0,Null
-3133,1,6.0,-1.0,-1.0,Null
-2492,1,3.0,-1.0,-1.0,Null
-1918,1,-1.0,3.0,-1.0,Null
-1430,1,-1.0,0.0,-1.0,Null
-1186,1,0.0,-1.0,-1.0,Null
-606,1,-1.0,4.0,-1.0,Null
-151,1,-1.0,5.0,-1.0,Null
224,1,6.0,-1.0,-1.0,Null
268,1,6.0,-1.0,-1.0,Null
582,1,-1.0,9.0,-1.0,Null
3000,1,-1.0,9.0,-1.0,Null
3613,1,0.0,-1.0,-1.0,Null
6072,1,7.0,-1.0,-1.0,Null
6473,1,-1.0,2.0,-1.0,Null
6977,1,-1.0,5.0,-1.0,Null
7307,1,7.0,-1.0,-1.0,Null
8099,1,4.0,-1.0,-1.0,Null
8815,1,-1.0,7.0,-1.0,Null
9929,1,-1.0,3.0,-1.0,Null
11703,1,-1.0,4.0,-1.0,Null
11870,1,-1.0,8.0,-1.0,Null
12017,1,7.0,-1.0,-1.0,Null
12113,1,-1.0,0.0,-1.0,Null
12209,1,6.0,-1.0,-1.0,Null
12951,1,1.0,-1.0,-1.0,Null
13052,1,3.0,-1.0,-1.0,Null
14061,1,-1.0,5.0,-1.0,Null
14367,1,0.0,-1.0,-1.0,Null
15257,1,-1.0,0.0,-1.0,Null
15349,1,6.0,-1.0,-1.0,Null
16068,1,6.0,-1.0,-1.0,Null
16087,1,7.0,-1.0,-1.0,Null
16240,1,-1.0,9.0,-1.0,Null
16640,1,6.0,-1.0,-1.0,Null
17247,1,-1.0,1.0,-1.0,Null
18330,1,8.0,-1.0,-1.0,Null
18563,1,6.0,-1.0,-1.0,Null
19067,1,-1.0,0.0,-1.0,Null
19267,1,-1.0,2.0,-1.0,Null
19711,1,-1.0,0.0,-1.0,Null
20179,1,-1.0,6.0,-1.0,Null
20254,1,-1.0,2.0,-1.0,Null
20268,1,-1.0,0.0,-1.0,Null
21421,1,4.0,-1.0,-1.0,Null
22432,1,2.0,-1.0,-1.0,Null
22544,1,9.0,-1.0,-1.0,Null
22943,1,4.0,-1.0,-1.0,Null
23277,1,-1.0,0.0,-1.0,Null
24393,1,-1.0,8.0,-1.0,Null
24457,1,-1.0,3.0,-1.0,Null
24974,1,-1.0,8.0,-1.0,Null
25671,1,9.0,-1.0,-1.0,Null
26622,1,-1.0,6.0,-1.0,Null
27238,1,8.0,-1.0,-1.0,Null
29182,1,5.0,-1.0,-1.0,Null
29364,1,3.0,-1.0,-1.0,Null
29780,1,7.0,-1.0,-1.0,Null
29922,1,4.0,-1.0,-1.0,Null
30055,1,-1.0,2.0,-1.0,Null
30670,1,9.0,-1.0,-1.0,Null
30960,1,3.0,-1.0,-1.0,Null
31123,1,-1.0,9.0,-1.0,Null
32088,1,4.0,-1.0,-1.0,Null
-32745,1,1.0,-1.0,-1.0,Null
-32327,1,4.0,-1.0,-1.0,Null
-32081,1,-1.0,6.0,-1.0,Null
-31895,1,0.0,-1.0,-1.0,Null
-31865,1,-1.0,0.0,-1.0,Null
-31693,1,7.0,-1.0,-1.0,Null
-30352,1,-1.0,9.0,-1.0,Null
-30341,1,4.0,-1.0,-1.0,Null
-29818,1,-1.0,4.0,-1.0,Null
-27086,1,-1.0,9.0,-1.0,Null
-26698,1,2.0,-1.0,-1.0,Null
-26091,1,-1.0,3.0,-1.0,Null
-24873,1,2.0,-1.0,-1.0,Null
-24509,1,-1.0,7.0,-1.0,Null
-23933,1,6.0,-1.0,-1.0,Null
-23545,1,7.0,-1.0,-1.0,Null
-23360,1,4.0,-1.0,-1.0,Null
-23304,1,-1.0,7.0,-1.0,Null
-23179,1,-1.0,4.0,-1.0,Null
-22733,1,4.0,-1.0,-1.0,Null
-20038,1,1.0,-1.0,-1.0,Null
-19514,1,2.0,-1.0,-1.0,Null
-19505,1,-1.0,9.0,-1.0,Null
-19322,1,0.0,-1.0,-1.0,Null
-18803,1,-1.0,0.0,-1.0,Null
-18208,1,6.0,-1.0,-1.0,Null
-17188,1,4.0,-1.0,-1.0,Null
-16635,1,0.0,-1.0,-1.0,Null
-16485,1,9.0,-1.0,-1.0,Null
-16175,1,-1.0,7.0,-1.0,Null
-15349,1,9.0,-1.0,-1.0,Null
-15320,1,-1.0,3.0,-1.0,Null
-14784,1,1.0,-1.0,-1.0,Null
-13763,1,-1.0,2.0,-1.0,Null
-13619,1,-1.0,8.0,-1.0,Null
-13592,1,-1.0,4.0,-1.0,Null
-13428,1,9.0,-1.0,-1.0,Null
-12491,1,8.0,-1.0,-1.0,Null
-12397,1,-1.0,9.0,-1.0,Null
-12022,1,-1.0,1.0,-1.0,Null
-11279,1,6.0,-1.0,-1.0,Null
-11084,1,-1.0,9.0,-1.0,Null
-10671,1,7.0,-1.0,-1.0,Null
-10143,1,-1.0,3.0,-1.0,Null
-9919,1,-1.0,9.0,-1.0,Null
-9849,1,-1.0,1.0,-1.0,Null
-9223,1,6.0,-1.0,-1.0,Null
-9072,1,3.0,-1.0,-1.0,Null
-8612,1,8.0,-1.0,-1.0,Null
-7791,1,-1.0,9.0,-1.0,Null
-7709,1,0.0,-1.0,-1.0,Null
-6335,1,-1.0,4.0,-1.0,Null
-5984,1,-1.0,8.0,-1.0,Null
-5877,1,-1.0,1.0,-1.0,Null
-5016,1,3.0,-1.0,-1.0,Null
-4835,1,4.0,-1.0,-1.0,Null
-3781,1,6.0,-1.0,-1.0,Null
-3483,1,-1.0,6.0,-1.0,Null
-1848,1,7.0,-1.0,-1.0,Null
-1497,1,-1.0,4.0,-1.0,Null
-637,1,1.0,-1.0,-1.0,Null
1746,1,-1.0,9.0,-1.0,Null
2004,1,2.0,-1.0,-1.0,Null
2356,1,3.0,-1.0,-1.0,Null
3196,1,2.0,-1.0,-1.0,Null
3601,1,-1.0,1.0,-1.0,Null
4205,1,6.0,-1.0,-1.0,Null
6177,1,6.0,-1.0,-1.0,Null
7282,1,-1.0,8.0,-1.0,Null
7303,1,6.0,-1.0,-1.0,Null
8241,1,9.0,-1.0,-1.0,Null
8367,1,2.0,-1.0,-1.0,Null
8679,1,-1.0,3.0,-1.0,Null
9303,1,1.0,-1.0,-1.0,Null
11718,1,5.0,-1.0,-1.0,Null
11997,1,-1.0,3.0,-1.0,Null
12231,1,-1.0,5.0,-1.0,Null
12413,1,2.0,-1.0,-1.0,Null
12827,1,-1.0,9.0,-1.0,Null
13815,1,1.0,-1.0,-1.0,Null
14575,1,7.0,-1.0,-1.0,Null
15865,1,2.0,-1.0,-1.0,Null
15878,1,-1.0,9.0,-1.0,Null
16207,1,-1.0,2.0,-1.0,Null
17288,1,-1.0,4.0,-1.0,Null
17426,1,-1.0,9.0,-1.0,Null
18150,1,-1.0,7.0,-1.0,Null
20458,1,-1.0,8.0,-1.0,Null
20905,1,-1.0,7.0,-1.0,Null
22488,1,7.0,-1.0,-1.0,Null
22646,1,1.0,-1.0,-1.0,Null
22742,1,2.0,-1.0,-1.0,Null
24006,1,-1.0,1.0,-1.0,Null
24052,1,-1.0,1.0,-1.0,Null
24685,1,-1.0,9.0,-1.0,Null
27550,1,-1.0,4.0,-1.0,Null
27743,1,8.0,-1.0,-1.0,Null
27997,1,5.0,-1.0,-1.0,Null
28070,1,-1.0,1.0,-1.0,Null
28207,1,3.0,-1.0,-1.0,Null
29628,1,5.0,-1.0,-1.0,Null
29835,1,-1.0,5.0,-1.0,Null
30214,1,-1.0,1.0,-1.0,Null
31538,1,2.0,-1.0,-1.0,Null
31572,1,-1.0,7.0,-1.0,Null
31807,1,-1.0,0.0,-1.0,Null
32297,1,7.0,-1.0,-1.0,Null
-31658,1,6.0,-1.0,-1.0,Null
-31616,1,-1.0,3.0,-1.0,Null
-31444,1,8.0,-1.0,-1.0,Null
-31288,1,-1.0,8.0,-1.0,Null
-31124,1,9.0,-1.0,-1.0,Null
-30150,1,-1.0,8.0,-1.0,Null
-29253,1,0.0,-1.0,-1.0,Null
-28902,1,5.0,-1.0,-1.0,Null
-28495,1,-1.0,9.0,-1.0,Null
-27742,1,-1.0,2.0,-1.0,Null
-27653,1,3.0,-1.0,-1.0,Null
-25059,1,-1.0,5.0,-1.0,Null
-24741,1,-1.0,8.0,-1.0,Null
-24021,1,-1.0,0.0,-1.0,Null
-23279,1,9.0,-1.0,-1.0,Null
-22045,1,-1.0,6.0,-1.0,Null
-21366,1,5.0,-1.0,-1.0,Null
-20452,1,-1.0,0.0,-1.0,Null
-18764,1,-1.0,8.0,-1.0,Null
-18362,1,8.0,-1.0,-1.0,Null
-18290,1,-1.0,9.0,-1.0,Null
-18096,1,0.0,-1.0,-1.0,Null
-16536,1,-1.0,8.0,-1.0,Null
-16442,1,-1.0,2.0,-1.0,Null
-15452,1,-1.0,9.0,-1.0,Null
-15198,1,1.0,-1.0,-1.0,Null
-14395,1,7.0,-1.0,-1.0,Null
-13550,1,-1.0,2.0,-1.0,Null
-12266,1,-1.0,6.0,-1.0,Null
-11653,1,2.0,-1.0,-1.0,Null
-11411,1,-1.0,3.0,-1.0,Null
-11117,1,-1.0,8.0,-1.0,Null
-10823,1,0.0,-1.0,-1.0,Null
-10745,1,8.0,-1.0,-1.0,Null
-10562,1,4.0,-1.0,-1.0,Null
-9577,1,-1.0,0.0,-1.0,Null
-8773,1,-1.0,4.0,-1.0,Null
-7789,1,2.0,-1.0,-1.0,Null
-7186,1,3.0,-1.0,-1.0,Null
-6752,1,0.0,-1.0,-1.0,Null
-6710,1,1.0,-1.0,-1.0,Null
-3656,1,6.0,-1.0,-1.0,Null
-3577,1,-1.0,0.0,-1.0,Null
-2650,1,-1.0,9.0,-1.0,Null
-920,1,-1.0,3.0,-1.0,Null
-748,1,5.0,-1.0,-1.0,Null
-466,1,9.0,-1.0,-1.0,Null
-99,1,4.0,-1.0,-1.0,Null
-34,1,7.0,-1.0,-1.0,Null
639,1,4.0,-1.0,-1.0,Null
1329,1,-1.0,9.0,-1.0,Null
2368,1,0.0,-1.0,-1.0,Null
3080,1,-1.0,5.0,-1.0,Null
3233,1,1.0,-1.0,-1.0,Null
3327,1,-1.0,9.0,-1.0,Null
5597,1,-1.0,6.0,-1.0,Null
7657,1,7.0,-1.0,-1.0,Null
7806,1,4.0,-1.0,-1.0,Null
8108,1,0.0,-1.0,-1.0,Null
8254,1,9.0,-1.0,-1.0,Null
8360,1,-1.0,1.0,-1.0,Null
8684,1,-1.0,1.0,-1.0,Null
9054,1,-1.0,1.0,-1.0,Null
9287,1,-1.0,7.0,-1.0,Null
9559,1,-1.0,7.0,-1.0,Null
9693,1,6.0,-1.0,-1.0,Null
10261,1,2.0,-1.0,-1.0,Null
10373,1,-1.0,2.0,-1.0,Null
10767,1,3.0,-1.0,-1.0,Null
11092,1,-1.0,6.0,-1.0,Null
13192,1,2.0,-1.0,-1.0,Null
13781,1,4.0,-1.0,-1.0,Null
14155,1,4.0,-1.0,-1.0,Null
15708,1,-1.0,5.0,-1.0,Null
15766,1,6.0,-1.0,-1.0,Null
15935,1,-1.0,1.0,-1.0,Null
16443,1,-1.0,5.0,-1.0,Null
16529,1,8.0,-1.0,-1.0,Null
16874,1,3.0,-1.0,-1.0,Null
17970,1,-1.0,3.0,-1.0,Null
18656,1,4.0,-1.0,-1.0,Null
18710,1,7.0,-1.0,-1.0,Null
20218,1,0.0,-1.0,-1.0,Null
20409,1,-1.0,3.0,-1.0,Null
20460,1,2.0,-1.0,-1.0,Null
20513,1,5.0,-1.0,-1.0,Null
23184,1,-1.0,7.0,-1.0,Null
23662,1,6.0,-1.0,-1.0,Null
23685,1,2.0,-1.0,-1.0,Null
24095,1,-1.0,4.0,-1.0,Null
25170,1,-1.0,2.0,-1.0,Null
26019,1,0.0,-1.0,-1.0,Null
27107,1,-1.0,9.0,-1.0,Null
27253,1,-1.0,9.0,-1.0,Null
27915,1,-1.0,0.0,-1.0,Null
28017,1,-1.0,1.0,-1.0,Null
28464,1,8.0,-1.0,-1.0,Null
29118,1,5.0,-1.0,-1.0,Null
29294,1,4.0,-1.0,-1.0,Null
30147,1,-1.0,3.0,-1.0,Null
30660,1,-1.0,7.0,-1.0,Null
31270,1,-1.0,1.0,-1.0,Null
31941,1,-1.0,5.0,-1.0,Null
32529,1,-1.0,5.0,-1.0,Null
-32194,1,-1.0,9.0,-1.0,Null
-31206,1,3.0,-1.0,-1.0,Null
-31054,1,0.0,-1.0,-1.0,Null
-30017,1,-1.0,6.0,-1.0,Null
-29292,1,-1.0,2.0,-1.0,Null
-28429,1,5.0,-1.0,-1.0,Null
-26579,1,5.0,-1.0,-1.0,Null
-26565,1,0.0,-1.0,-1.0,Null
-24113,1,7.0,-1.0,-1.0,Null
-24045,1,4.0,-1.0,-1.0,Null
-22230,1,-1.0,4.0,-1.0,Null
-20244,1,-1.0,8.0,-1.0,Null
-19570,1,0.0,-1.0,-1.0,Null
-17853,1,3.0,-1.0,-1.0,Null
-15240,1,-1.0,8.0,-1.0,Null
-14186,1,-1.0,3.0,-1.0,Null
-14031,1,-1.0,5.0,-1.0,Null
-13929,1,-1.0,8.0,-1.0,Null
-12708,1,4.0,-1.0,-1.0,Null
-11713,1,5.0,-1.0,-1.0,Null
